value
Comparative Genomic Hybridization
Cytogenetics NOS
FISH
Flow Cytometry
IHC
ISH
Karyotype
Microarray
Microsatellite Analysis
Not Applicable
Not Reported
Nuclear Staining
Other
RNA Sequencing
RT-PCR
Sequencing NOS
Southern Blotting
Targeted Sequencing
Unknown
WGS
WXS
